"cond"	"subj"	"fixed"	"phase"	"trial"	"catordist"	"ic1"	"ic2"	"ic3"	"ic4"	"ic5"	"ic6"	"ic7"	"ic8"	"ic9"	"ic10"	"ic11"	"ic12"	"resp"	"rt"
1	1	1	0	1	1	8	20	30	28	10	31	27	36	15	5	39	7	-1	-1
1	1	1	0	2	2	6	34	21	38	25	9	3	33	4	11	1	37	-1	-1
1	1	1	0	3	3	26	18	2	16	29	35	22	12	23	17	40	13	-1	-1
1	1	1	0	4	4	14	19	24	32	0	0	0	0	0	0	0	0	-1	-1
1	1	1	1	1	2	11	40	6	26	29	37	1	3	9	4	13	34	-1	-1
1	1	1	1	2	3	12	26	2	23	29	13	17	16	22	18	35	40	-1	-1
1	1	1	1	3	3	35	16	26	18	17	12	1	22	23	29	2	13	-1	-1
1	1	1	1	4	3	13	23	26	22	40	17	16	18	2	35	29	12	-1	-1
1	1	1	1	5	2	34	21	11	37	6	4	33	9	23	3	25	38	-1	-1
1	1	1	1	6	3	12	2	40	29	23	34	17	26	13	22	18	35	-1	-1
1	1	1	1	7	1	39	10	31	5	20	7	27	30	28	36	8	15	-1	-1
1	1	1	1	8	1	30	31	10	28	27	7	8	15	36	39	1	20	-1	-1
1	1	1	1	9	3	26	27	18	22	17	35	37	13	2	29	16	23	-1	-1
1	1	1	1	10	1	31	28	30	1	39	36	27	20	8	5	7	15	-1	-1
1	1	1	1	11	1	39	28	5	7	20	31	25	16	29	27	30	10	-1	-1
1	1	1	1	12	1	31	2	11	28	13	37	39	30	27	10	8	36	-1	-1
1	1	1	1	13	3	18	35	26	16	12	25	2	21	23	13	22	17	-1	-1
1	1	1	1	14	3	40	2	16	12	22	29	18	26	13	23	17	35	-1	-1
1	1	1	1	15	3	22	12	16	35	26	23	13	29	40	28	17	2	-1	-1
1	1	1	1	16	3	22	40	26	18	17	16	29	23	2	12	37	35	-1	-1
1	1	1	1	17	1	37	15	26	31	20	9	30	39	8	7	27	5	-1	-1
1	1	1	1	18	3	26	16	29	13	11	22	12	35	17	23	2	40	-1	-1
1	1	1	1	19	2	18	25	38	11	3	9	36	6	34	33	21	17	-1	-1
1	1	1	1	20	2	4	25	11	38	6	33	37	21	2	34	1	3	-1	-1
1	1	1	1	21	1	15	3	8	27	36	31	10	20	5	39	30	7	-1	-1
1	1	1	1	22	3	17	2	22	13	26	15	12	7	16	35	18	23	-1	-1
1	1	1	1	23	2	1	37	11	6	34	38	4	3	33	21	9	25	-1	-1
1	1	1	1	24	3	16	29	18	22	26	13	17	35	23	33	2	40	-1	-1
1	1	1	1	25	1	15	31	36	8	27	39	5	20	10	1	28	30	-1	-1
1	1	1	1	26	2	6	4	3	1	33	34	37	38	21	11	25	9	-1	-1
1	1	1	1	27	2	1	11	34	33	26	3	38	21	4	9	5	25	-1	-1
1	1	1	1	28	3	22	26	13	2	16	8	27	12	29	35	18	17	-1	-1
1	1	1	1	29	3	13	26	29	2	35	23	17	16	12	40	22	18	-1	-1
1	1	1	1	30	3	3	35	13	17	26	23	22	12	2	18	16	29	-1	-1
1	1	1	1	31	3	11	12	20	26	35	2	13	23	16	40	29	17	-1	-1
1	1	1	1	32	3	12	13	23	4	17	29	2	35	26	34	22	16	-1	-1
1	1	1	1	33	2	21	1	3	34	6	33	38	9	4	37	25	11	-1	-1
1	1	1	1	34	1	27	15	5	10	20	39	36	28	31	7	30	8	-1	-1
1	1	1	1	35	3	26	21	34	29	8	2	12	18	16	35	40	22	-1	-1
1	1	1	1	36	3	22	26	2	29	13	16	35	23	12	40	17	36	-1	-1
